Date,Home Team,Away Team,Home Goals,Away Goals,Possession % (Home),Possession % (Away),Shots (Home),Shots (Away),Corners (Home),Corners (Away),Fouls (Home),Fouls (Away),Winner,Year,Home_Points,Away_Points
2021-07-27,AC Milan,Liverpool,2,2,46,60,8,24,7,10,8,5,Draw,2021,1,1
2022-05-07,AC Milan,Borussia Dortmund,4,5,64,45,14,21,2,6,7,9,Away Team,2022,0,3
2017-04-17,Bayern Munich,Bayern Munich,0,1,64,50,13,20,2,3,13,9,Away Team,2017,0,3
2017-05-13,AC Milan,Bayern Munich,0,3,46,52,23,22,3,9,15,10,Away Team,2017,0,3
2024-06-22,Chelsea,Barcelona,4,1,64,54,17,23,10,2,15,9,Home Team,2024,3,0
2023-02-13,Barcelona,Paris Saint-Germain,4,3,53,48,8,17,6,8,6,15,Home Team,2023,3,0
2024-12-19,Juventus,Liverpool,1,1,52,57,18,24,5,2,13,5,Draw,2024,1,1
2021-03-12,Juventus,Chelsea,0,4,67,33,24,18,10,8,8,5,Away Team,2021,0,3
2021-04-08,Manchester City,Manchester City,3,2,54,42,10,21,10,5,14,12,Home Team,2021,3,0
2018-06-14,Real Madrid,Paris Saint-Germain,2,1,44,58,17,17,2,10,14,6,Home Team,2018,3,0
2019-09-10,AC Milan,Liverpool,2,0,60,42,9,20,3,4,8,5,Home Team,2019,3,0
2021-07-18,AC Milan,Bayern Munich,3,1,68,50,21,6,4,6,13,7,Home Team,2021,3,0
2017-05-10,Juventus,Bayern Munich,3,1,67,58,7,18,2,8,15,15,Home Team,2017,3,0
2016-11-12,Arsenal,Bayern Munich,4,0,64,54,10,14,8,8,14,11,Home Team,2016,3,0
2024-11-11,Barcelona,Bayern Munich,4,4,61,44,24,24,4,3,8,12,Draw,2024,1,1
2016-12-02,Barcelona,Liverpool,3,5,67,35,9,20,7,5,7,13,Away Team,2016,0,3
2024-08-13,AC Milan,Borussia Dortmund,1,2,64,58,19,24,7,7,9,12,Away Team,2024,0,3
2017-05-30,Arsenal,Chelsea,0,5,65,41,16,16,4,5,10,11,Away Team,2017,0,3
2016-04-11,Liverpool,Barcelona,0,2,42,35,8,25,2,5,15,10,Away Team,2016,0,3
2017-08-25,Bayern Munich,Arsenal,1,4,48,59,21,20,9,3,12,5,Away Team,2017,0,3
2025-07-23,AC Milan,Manchester City,2,2,49,40,24,19,2,3,6,10,Draw,2025,1,1
2019-11-18,Barcelona,AC Milan,5,3,58,32,23,11,4,4,11,11,Home Team,2019,3,0
2016-02-27,AC Milan,Chelsea,2,0,47,37,21,23,8,2,15,5,Home Team,2016,3,0
2025-01-22,Barcelona,Bayern Munich,4,0,45,49,9,8,5,2,6,13,Home Team,2025,3,0
2024-07-26,Barcelona,Paris Saint-Germain,2,3,61,45,16,17,2,4,14,12,Away Team,2024,0,3
2016-07-02,Juventus,Liverpool,4,3,59,43,14,19,10,6,8,5,Home Team,2016,3,0
2022-10-31,Chelsea,Arsenal,1,3,46,52,6,22,9,10,15,14,Away Team,2022,0,3
2016-12-04,Juventus,Borussia Dortmund,1,3,67,52,20,16,3,2,15,14,Away Team,2016,0,3
2022-12-05,Manchester City,Manchester City,1,2,62,36,6,18,5,6,5,13,Away Team,2022,0,3
2022-10-31,Paris Saint-Germain,Borussia Dortmund,0,2,66,50,14,12,9,8,8,14,Away Team,2022,0,3
2022-02-15,Chelsea,Juventus,5,1,54,36,9,23,10,8,8,8,Home Team,2022,3,0
2017-03-15,Manchester City,Chelsea,0,1,52,32,7,21,6,4,15,5,Away Team,2017,0,3
2019-08-23,Chelsea,Paris Saint-Germain,2,3,55,52,19,9,4,9,5,14,Away Team,2019,0,3
2017-03-03,Bayern Munich,AC Milan,4,5,65,46,6,6,6,4,14,8,Away Team,2017,0,3
2017-03-10,Arsenal,Chelsea,1,1,55,38,12,23,6,3,6,10,Draw,2017,1,1
2016-08-08,Arsenal,Borussia Dortmund,0,0,69,56,22,23,7,4,14,14,Draw,2016,1,1
2024-03-16,Juventus,Juventus,2,5,56,58,21,10,4,8,14,11,Away Team,2024,0,3
2024-02-26,Liverpool,Liverpool,5,3,47,49,12,25,8,9,8,15,Home Team,2024,3,0
2022-09-18,Arsenal,Chelsea,3,2,46,59,24,6,4,10,5,5,Home Team,2022,3,0
2018-03-29,Barcelona,Manchester City,4,4,43,40,21,16,9,7,10,9,Draw,2018,1,1
2016-03-31,Arsenal,Juventus,1,4,63,48,21,23,10,9,10,9,Away Team,2016,0,3
2015-05-23,Liverpool,Chelsea,5,5,56,39,11,25,5,8,5,14,Draw,2015,1,1
2022-12-14,Real Madrid,Paris Saint-Germain,1,2,41,51,5,11,8,5,6,7,Away Team,2022,0,3
2023-05-03,Liverpool,Borussia Dortmund,2,2,46,34,21,13,2,7,10,5,Draw,2023,1,1
2022-05-25,Manchester City,Arsenal,4,3,61,54,22,12,6,4,7,12,Home Team,2022,3,0
2021-07-28,Juventus,Borussia Dortmund,2,5,42,36,15,24,9,8,6,11,Away Team,2021,0,3
2016-05-13,Paris Saint-Germain,Paris Saint-Germain,2,0,69,41,19,17,7,7,6,9,Home Team,2016,3,0
2018-10-15,Barcelona,Borussia Dortmund,2,1,68,57,9,16,5,10,8,11,Home Team,2018,3,0
2020-08-15,Chelsea,AC Milan,2,3,46,60,13,22,7,2,7,10,Away Team,2020,0,3
2015-12-16,Arsenal,Barcelona,2,1,45,46,6,8,3,10,13,14,Home Team,2015,3,0
2017-11-29,Paris Saint-Germain,Barcelona,0,0,50,34,8,23,3,3,12,12,Draw,2017,1,1
2022-02-23,Juventus,Arsenal,0,1,66,52,10,10,10,5,7,11,Away Team,2022,0,3
2016-03-01,Liverpool,Bayern Munich,2,5,44,39,24,18,6,3,6,12,Away Team,2016,0,3
2022-08-21,Paris Saint-Germain,Manchester City,4,1,53,60,12,18,8,6,14,13,Home Team,2022,3,0
2021-07-14,Arsenal,Barcelona,1,1,70,33,10,9,6,8,12,14,Draw,2021,1,1
2022-10-06,Liverpool,Borussia Dortmund,4,4,51,54,17,6,9,4,9,15,Draw,2022,1,1
2022-01-26,Liverpool,Borussia Dortmund,5,1,49,44,7,13,2,2,14,5,Home Team,2022,3,0
2022-01-16,Chelsea,Bayern Munich,5,2,61,47,8,23,9,7,15,14,Home Team,2022,3,0
2023-03-24,Liverpool,Juventus,0,5,50,60,25,5,2,2,7,12,Away Team,2023,0,3
2017-10-02,Manchester City,Liverpool,0,4,50,33,25,8,7,9,8,13,Away Team,2017,0,3
2018-03-02,Real Madrid,Paris Saint-Germain,0,5,48,38,24,5,9,7,10,11,Away Team,2018,0,3
2024-02-22,Barcelona,Bayern Munich,0,1,60,46,16,18,9,6,5,14,Away Team,2024,0,3
2021-06-18,Real Madrid,Manchester City,5,4,42,58,20,25,2,6,7,15,Home Team,2021,3,0
2021-07-31,Juventus,Paris Saint-Germain,4,0,44,41,25,5,4,7,13,13,Home Team,2021,3,0
2022-08-31,Juventus,Bayern Munich,4,4,66,47,17,20,4,2,8,10,Draw,2022,1,1
2023-07-03,Juventus,Paris Saint-Germain,3,0,63,58,25,7,7,7,9,9,Home Team,2023,3,0
2019-11-24,Chelsea,Paris Saint-Germain,2,1,63,49,21,21,7,4,6,8,Home Team,2019,3,0
2023-01-15,Liverpool,Juventus,4,3,47,52,15,20,7,8,8,15,Home Team,2023,3,0
2015-01-31,Juventus,Juventus,0,5,49,56,22,10,2,10,15,9,Away Team,2015,0,3
2019-06-09,Bayern Munich,Chelsea,4,2,54,60,15,11,7,5,11,8,Home Team,2019,3,0
2018-12-07,Paris Saint-Germain,AC Milan,3,4,50,41,18,25,7,3,7,11,Away Team,2018,0,3
2022-08-29,Paris Saint-Germain,Borussia Dortmund,0,3,63,38,21,17,5,3,13,12,Away Team,2022,0,3
2015-11-21,Arsenal,Bayern Munich,5,3,60,48,20,17,9,4,7,8,Home Team,2015,3,0
2015-09-08,Bayern Munich,AC Milan,2,0,43,49,22,10,6,8,9,10,Home Team,2015,3,0
2016-11-07,Paris Saint-Germain,Paris Saint-Germain,1,3,62,58,8,12,2,2,8,10,Away Team,2016,0,3
2022-08-22,Arsenal,Chelsea,3,4,45,54,22,23,3,3,7,12,Away Team,2022,0,3
2015-04-03,Juventus,Bayern Munich,5,3,67,54,6,15,2,9,13,13,Home Team,2015,3,0
2024-09-09,Chelsea,Chelsea,0,2,61,39,8,5,9,2,11,7,Away Team,2024,0,3
2018-01-20,Chelsea,Bayern Munich,4,0,66,45,13,23,7,9,13,6,Home Team,2018,3,0
2022-02-26,Chelsea,Liverpool,5,2,53,38,6,8,8,2,9,11,Home Team,2022,3,0
2018-09-16,Arsenal,Borussia Dortmund,0,4,40,35,6,7,10,4,14,13,Away Team,2018,0,3
2015-12-18,Bayern Munich,Manchester City,4,3,46,42,13,18,4,9,14,9,Home Team,2015,3,0
2020-05-26,Arsenal,Bayern Munich,4,1,58,53,7,7,6,2,13,14,Home Team,2020,3,0
2022-02-17,AC Milan,Bayern Munich,2,4,65,54,24,16,3,10,11,14,Away Team,2022,0,3
2017-02-05,Manchester City,Juventus,5,1,51,39,22,9,5,4,7,13,Home Team,2017,3,0
2015-06-20,AC Milan,Manchester City,2,0,45,37,23,23,4,4,11,12,Home Team,2015,3,0
2022-10-01,Juventus,Paris Saint-Germain,1,3,65,46,12,8,7,3,10,10,Away Team,2022,0,3
2015-03-21,Juventus,Juventus,3,0,53,38,19,13,7,5,10,6,Home Team,2015,3,0
2021-11-03,Manchester City,Arsenal,4,5,51,60,9,15,9,9,14,12,Away Team,2021,0,3
2020-10-11,Juventus,AC Milan,0,5,70,56,10,12,7,6,11,11,Away Team,2020,0,3
2020-11-14,Manchester City,Barcelona,2,2,45,43,18,19,5,3,7,6,Draw,2020,1,1
2022-07-25,Real Madrid,Borussia Dortmund,0,2,43,35,12,13,7,6,12,5,Away Team,2022,0,3
2023-01-17,Arsenal,AC Milan,1,2,51,39,6,22,9,8,8,13,Away Team,2023,0,3
2021-08-17,Real Madrid,Arsenal,0,0,67,45,23,16,9,7,13,13,Draw,2021,1,1
2015-01-22,Chelsea,Arsenal,4,0,66,44,20,8,4,4,9,7,Home Team,2015,3,0
2024-08-27,Real Madrid,Juventus,0,5,60,55,14,23,6,10,11,5,Away Team,2024,0,3
2018-04-11,Chelsea,Paris Saint-Germain,2,0,60,42,14,9,6,4,15,7,Home Team,2018,3,0
2025-07-24,Chelsea,Juventus,3,1,54,57,12,18,2,4,6,11,Home Team,2025,3,0
2018-04-21,Arsenal,Arsenal,1,4,59,32,14,15,4,10,6,5,Away Team,2018,0,3
2023-01-10,Liverpool,AC Milan,2,1,43,47,10,8,4,4,6,5,Home Team,2023,3,0
2017-06-26,Barcelona,AC Milan,2,4,53,30,24,20,6,5,12,14,Away Team,2017,0,3
2022-12-20,AC Milan,Manchester City,1,2,56,45,9,22,7,8,14,9,Away Team,2022,0,3
2015-10-18,Chelsea,AC Milan,5,5,58,34,9,21,2,10,9,13,Draw,2015,1,1
2018-03-21,Bayern Munich,Borussia Dortmund,1,3,63,32,25,12,2,8,8,9,Away Team,2018,0,3
2021-05-05,Paris Saint-Germain,Juventus,5,3,50,36,8,7,9,10,5,7,Home Team,2021,3,0
2015-09-10,Liverpool,Arsenal,4,0,67,50,8,11,4,2,14,10,Home Team,2015,3,0
2023-06-11,Juventus,Bayern Munich,0,0,41,41,12,5,7,6,12,13,Draw,2023,1,1
2019-03-17,Juventus,Arsenal,3,3,42,30,15,17,6,4,15,7,Draw,2019,1,1
2023-09-19,Juventus,Paris Saint-Germain,4,5,66,40,14,16,7,9,11,14,Away Team,2023,0,3
2021-11-11,Chelsea,Liverpool,5,1,59,46,21,23,3,4,7,6,Home Team,2021,3,0
2023-01-12,Juventus,Paris Saint-Germain,5,5,43,43,16,15,9,4,12,14,Draw,2023,1,1
2022-08-07,Barcelona,Manchester City,5,2,69,59,8,7,2,9,12,5,Home Team,2022,3,0
2015-10-19,Chelsea,Chelsea,4,2,52,44,20,8,8,4,12,6,Home Team,2015,3,0
2017-02-14,Chelsea,Barcelona,4,2,54,47,17,24,9,7,6,11,Home Team,2017,3,0
2018-02-11,Manchester City,Bayern Munich,4,3,69,41,8,23,5,9,6,12,Home Team,2018,3,0
2024-06-01,AC Milan,Bayern Munich,3,1,60,55,20,5,6,8,6,8,Home Team,2024,3,0
2018-12-13,Juventus,Paris Saint-Germain,0,4,57,39,20,22,10,10,14,13,Away Team,2018,0,3
2017-08-06,Manchester City,Paris Saint-Germain,3,1,64,60,10,14,10,5,9,13,Home Team,2017,3,0
2025-12-08,AC Milan,Barcelona,4,0,43,30,15,13,2,10,13,7,Home Team,2025,3,0
2021-01-25,Real Madrid,Liverpool,2,1,42,30,9,10,6,7,9,6,Home Team,2021,3,0
2024-12-28,Paris Saint-Germain,Arsenal,0,5,52,34,12,16,5,7,10,14,Away Team,2024,0,3
2022-03-06,Chelsea,Paris Saint-Germain,4,2,44,52,25,21,5,6,9,7,Home Team,2022,3,0
2015-12-31,Liverpool,Chelsea,0,3,50,32,19,10,2,2,7,5,Away Team,2015,0,3
2015-02-17,AC Milan,Juventus,5,1,43,43,7,11,3,2,11,12,Home Team,2015,3,0
2020-11-05,Real Madrid,AC Milan,0,1,69,37,5,20,2,6,5,8,Away Team,2020,0,3
2016-03-03,Real Madrid,Liverpool,5,2,54,39,18,20,9,7,8,15,Home Team,2016,3,0
2018-10-08,Manchester City,Manchester City,5,0,70,59,22,17,2,6,8,12,Home Team,2018,3,0
2018-08-17,Barcelona,Paris Saint-Germain,4,1,68,38,9,6,6,10,13,14,Home Team,2018,3,0
2023-11-11,Real Madrid,Bayern Munich,5,4,65,43,5,14,2,6,8,14,Home Team,2023,3,0
2017-01-20,Manchester City,Juventus,4,0,63,38,5,10,10,5,13,10,Home Team,2017,3,0
2020-11-26,Manchester City,Liverpool,4,2,49,36,14,16,2,7,10,13,Home Team,2020,3,0
2015-02-13,Real Madrid,Bayern Munich,3,2,47,39,24,11,10,5,7,7,Home Team,2015,3,0
2019-03-21,Chelsea,Borussia Dortmund,2,5,51,54,24,21,8,9,9,9,Away Team,2019,0,3
2015-06-27,Real Madrid,Liverpool,1,3,59,40,13,25,8,5,9,11,Away Team,2015,0,3
2021-09-25,AC Milan,Borussia Dortmund,5,2,42,43,6,13,9,3,13,12,Home Team,2021,3,0
2018-10-27,Paris Saint-Germain,Borussia Dortmund,0,2,59,40,9,25,10,4,9,14,Away Team,2018,0,3
2015-03-15,Liverpool,Borussia Dortmund,2,3,68,55,9,20,5,6,8,12,Away Team,2015,0,3
2018-06-29,Chelsea,Paris Saint-Germain,3,3,62,44,25,22,3,10,5,5,Draw,2018,1,1
2018-09-23,Real Madrid,Paris Saint-Germain,0,4,49,30,6,24,2,6,15,12,Away Team,2018,0,3
2019-09-07,AC Milan,Bayern Munich,3,1,67,45,24,11,8,7,12,10,Home Team,2019,3,0
2022-02-25,Arsenal,Juventus,5,4,48,46,15,13,3,10,15,7,Home Team,2022,3,0
2020-10-29,Barcelona,Manchester City,5,1,52,47,15,13,2,9,12,7,Home Team,2020,3,0
2024-09-11,Barcelona,Juventus,4,5,61,48,10,6,2,6,10,6,Away Team,2024,0,3
2024-05-29,Paris Saint-Germain,AC Milan,0,3,50,57,17,16,5,7,8,13,Away Team,2024,0,3
2023-03-06,Manchester City,Arsenal,1,1,48,51,24,8,6,9,7,9,Draw,2023,1,1
2025-06-16,Paris Saint-Germain,Paris Saint-Germain,0,2,40,58,24,20,5,2,12,11,Away Team,2025,0,3
2023-05-11,Liverpool,Bayern Munich,5,0,51,30,8,16,7,5,9,5,Home Team,2023,3,0
2017-04-11,Paris Saint-Germain,Manchester City,2,0,57,38,7,15,4,2,13,8,Home Team,2017,3,0
2017-11-05,Chelsea,Bayern Munich,1,3,41,54,14,16,5,3,12,11,Away Team,2017,0,3
2021-07-23,Liverpool,Barcelona,1,4,50,53,20,17,6,4,6,13,Away Team,2021,0,3
2025-10-29,Manchester City,Barcelona,0,5,45,58,11,10,10,8,6,7,Away Team,2025,0,3
2025-06-17,Arsenal,Manchester City,3,5,48,30,11,13,9,5,12,5,Away Team,2025,0,3
2016-08-02,Chelsea,Borussia Dortmund,2,4,64,52,18,18,9,9,5,13,Away Team,2016,0,3
2017-01-08,Arsenal,Arsenal,2,5,49,55,7,12,6,5,6,8,Away Team,2017,0,3
2019-12-30,Barcelona,Bayern Munich,0,5,70,43,23,18,4,9,14,10,Away Team,2019,0,3
2016-10-17,Juventus,Bayern Munich,1,5,45,56,12,18,6,5,9,12,Away Team,2016,0,3
2015-02-05,Barcelona,Liverpool,0,3,66,39,15,7,10,7,15,12,Away Team,2015,0,3
2019-06-04,Bayern Munich,Chelsea,2,2,62,32,13,20,5,3,9,6,Draw,2019,1,1
2022-03-05,Chelsea,Bayern Munich,5,2,58,45,25,19,4,7,13,6,Home Team,2022,3,0
2016-12-29,Arsenal,Chelsea,2,1,62,44,20,21,6,9,14,9,Home Team,2016,3,0
2021-02-08,Chelsea,Borussia Dortmund,3,4,60,48,8,22,2,7,5,9,Away Team,2021,0,3
2022-11-04,Paris Saint-Germain,Paris Saint-Germain,0,4,42,41,14,23,3,7,12,10,Away Team,2022,0,3
2019-05-07,Chelsea,Bayern Munich,1,2,49,55,9,19,4,10,7,9,Away Team,2019,0,3
2020-02-16,Chelsea,Chelsea,1,4,63,40,22,14,3,10,6,14,Away Team,2020,0,3
2021-03-09,Barcelona,Borussia Dortmund,1,2,70,41,25,23,10,3,10,8,Away Team,2021,0,3
2023-05-23,Liverpool,Manchester City,1,4,68,52,13,21,4,2,8,10,Away Team,2023,0,3
2025-09-24,Barcelona,Manchester City,2,4,60,51,8,12,5,4,9,9,Away Team,2025,0,3
2020-03-23,Real Madrid,Barcelona,0,4,55,41,10,11,3,5,13,10,Away Team,2020,0,3
2015-11-09,Juventus,Bayern Munich,1,3,52,42,13,18,8,10,6,12,Away Team,2015,0,3
2025-01-27,Real Madrid,Borussia Dortmund,1,0,66,43,7,22,8,5,7,12,Home Team,2025,3,0
2022-07-03,AC Milan,Barcelona,5,5,48,53,12,10,5,2,11,11,Draw,2022,1,1
2020-07-13,Bayern Munich,Arsenal,2,1,45,31,5,6,4,10,15,9,Home Team,2020,3,0
2019-05-14,Barcelona,Bayern Munich,3,0,56,44,8,16,9,10,10,14,Home Team,2019,3,0
2017-08-16,Bayern Munich,Borussia Dortmund,0,5,59,32,18,9,5,5,13,13,Away Team,2017,0,3
2025-03-23,Manchester City,Arsenal,5,0,44,42,7,6,2,9,15,6,Home Team,2025,3,0
2017-04-01,Real Madrid,Juventus,4,1,48,30,24,23,7,3,15,11,Home Team,2017,3,0
2022-12-16,Liverpool,Arsenal,5,5,54,42,5,18,5,3,12,15,Draw,2022,1,1
2021-01-27,Liverpool,Bayern Munich,2,1,46,33,14,7,4,3,11,5,Home Team,2021,3,0
2025-10-28,Chelsea,Liverpool,2,3,60,31,6,5,8,10,7,9,Away Team,2025,0,3
2023-12-17,AC Milan,Liverpool,1,5,49,54,21,23,6,9,6,5,Away Team,2023,0,3
2018-02-10,AC Milan,Barcelona,4,5,40,50,22,5,10,4,6,5,Away Team,2018,0,3
2019-05-14,Manchester City,Manchester City,1,3,53,55,23,6,6,9,12,11,Away Team,2019,0,3
2024-03-07,Bayern Munich,Juventus,2,3,62,47,19,8,10,3,10,15,Away Team,2024,0,3
2016-08-21,Manchester City,Juventus,5,5,57,48,12,23,5,10,15,15,Draw,2016,1,1
2019-07-09,Liverpool,Paris Saint-Germain,1,2,59,54,14,13,7,7,7,7,Away Team,2019,0,3
2020-04-09,Bayern Munich,AC Milan,2,2,43,50,16,20,6,2,14,14,Draw,2020,1,1
2025-07-12,Chelsea,Manchester City,0,2,50,48,19,8,3,8,12,14,Away Team,2025,0,3
2023-05-28,Paris Saint-Germain,Arsenal,3,2,62,42,20,9,4,2,14,15,Home Team,2023,3,0
2016-12-23,Paris Saint-Germain,AC Milan,5,3,56,45,14,21,9,10,11,7,Home Team,2016,3,0
2025-09-18,Barcelona,Manchester City,1,2,70,57,17,24,7,6,6,14,Away Team,2025,0,3
2015-04-28,Arsenal,AC Milan,4,0,60,37,20,8,2,5,11,12,Home Team,2015,3,0
2018-05-23,Manchester City,Paris Saint-Germain,0,3,66,50,25,19,3,7,6,7,Away Team,2018,0,3
2016-08-03,Arsenal,Barcelona,0,1,51,34,9,7,8,9,15,9,Away Team,2016,0,3
2017-04-02,Paris Saint-Germain,Juventus,2,3,61,33,17,18,3,10,6,14,Away Team,2017,0,3
2022-08-30,Real Madrid,Liverpool,4,3,58,54,5,21,7,5,13,8,Home Team,2022,3,0
2018-03-27,Juventus,Paris Saint-Germain,2,5,42,47,23,12,7,2,10,6,Away Team,2018,0,3
2024-11-03,Chelsea,Liverpool,5,2,41,42,25,17,3,5,12,7,Home Team,2024,3,0
2019-10-02,AC Milan,Paris Saint-Germain,0,4,44,59,14,10,6,6,9,5,Away Team,2019,0,3
2015-10-10,Chelsea,Arsenal,2,1,68,43,9,18,5,5,8,8,Home Team,2015,3,0
2019-01-02,Real Madrid,AC Milan,2,1,51,51,15,25,8,3,9,13,Home Team,2019,3,0
2021-10-17,AC Milan,Arsenal,4,2,41,48,20,14,3,6,13,8,Home Team,2021,3,0
2015-10-05,Arsenal,Paris Saint-Germain,1,0,69,43,11,14,7,6,10,14,Home Team,2015,3,0
2023-04-11,Bayern Munich,Chelsea,5,2,68,38,19,11,2,10,14,11,Home Team,2023,3,0
2016-11-02,Manchester City,Juventus,2,0,53,41,18,19,2,3,8,5,Home Team,2016,3,0
2017-05-31,Barcelona,AC Milan,4,0,50,36,5,14,3,7,12,5,Home Team,2017,3,0
2021-11-13,Chelsea,Bayern Munich,1,4,69,48,11,14,9,10,12,6,Away Team,2021,0,3
2020-02-04,Chelsea,Chelsea,5,3,53,43,10,12,10,5,14,12,Home Team,2020,3,0
2020-03-13,Paris Saint-Germain,Juventus,2,1,50,35,23,12,4,6,9,14,Home Team,2020,3,0
2016-05-19,Arsenal,Barcelona,4,0,48,54,5,15,6,4,13,5,Home Team,2016,3,0
2015-07-03,Barcelona,Paris Saint-Germain,2,1,44,50,10,15,8,5,13,7,Home Team,2015,3,0
2023-10-13,Chelsea,Bayern Munich,0,5,70,32,16,19,7,6,8,13,Away Team,2023,0,3
2020-08-09,Arsenal,Chelsea,3,4,47,54,22,23,8,3,11,9,Away Team,2020,0,3
2020-12-01,Manchester City,Borussia Dortmund,3,2,66,49,14,11,8,7,7,10,Home Team,2020,3,0
2018-06-12,Manchester City,AC Milan,1,2,67,58,8,15,8,9,15,11,Away Team,2018,0,3
2025-12-15,Juventus,Manchester City,1,5,61,59,16,16,2,4,15,14,Away Team,2025,0,3
2016-01-23,Arsenal,Arsenal,1,2,56,57,5,25,6,5,7,7,Away Team,2016,0,3
2017-09-09,Barcelona,Paris Saint-Germain,1,1,67,34,15,22,3,4,11,6,Draw,2017,1,1
2023-05-06,Barcelona,Paris Saint-Germain,1,2,66,43,16,12,6,9,12,14,Away Team,2023,0,3
2015-12-03,Juventus,Borussia Dortmund,4,0,64,52,25,17,8,3,13,14,Home Team,2015,3,0
2025-11-26,Barcelona,Chelsea,4,5,41,43,5,9,7,8,10,8,Away Team,2025,0,3
2017-09-29,Juventus,Paris Saint-Germain,2,4,53,48,19,9,5,10,14,15,Away Team,2017,0,3
2018-03-26,Bayern Munich,Liverpool,5,1,54,41,8,8,10,9,6,12,Home Team,2018,3,0
2019-08-24,Real Madrid,Barcelona,4,2,67,56,20,20,2,4,13,12,Home Team,2019,3,0
2020-06-24,Manchester City,Bayern Munich,2,1,70,43,15,17,5,9,15,12,Home Team,2020,3,0
2017-06-23,Barcelona,AC Milan,1,0,49,44,19,9,10,4,9,14,Home Team,2017,3,0
2020-04-28,Manchester City,Bayern Munich,0,2,55,59,9,16,2,3,10,13,Away Team,2020,0,3
2015-02-27,Manchester City,Borussia Dortmund,2,4,42,57,21,12,3,4,10,14,Away Team,2015,0,3
2023-10-29,Paris Saint-Germain,Borussia Dortmund,1,2,47,30,12,19,9,4,7,13,Away Team,2023,0,3
2016-05-01,Manchester City,Barcelona,4,3,41,60,9,14,6,9,15,5,Home Team,2016,3,0
2022-03-24,Arsenal,Juventus,1,0,47,33,5,12,3,7,8,12,Home Team,2022,3,0
2019-02-26,Liverpool,AC Milan,5,1,56,56,24,17,9,6,13,9,Home Team,2019,3,0
2019-08-22,AC Milan,Borussia Dortmund,3,0,50,34,14,15,10,3,11,10,Home Team,2019,3,0
2024-07-19,Paris Saint-Germain,Barcelona,5,3,47,50,8,7,8,6,6,6,Home Team,2024,3,0
2021-01-07,Paris Saint-Germain,Bayern Munich,5,4,49,56,5,25,6,3,8,7,Home Team,2021,3,0
2016-02-26,Manchester City,Borussia Dortmund,0,4,65,35,9,18,10,2,12,14,Away Team,2016,0,3
2024-04-14,Bayern Munich,Liverpool,0,2,67,43,8,6,8,7,12,5,Away Team,2024,0,3
2017-05-26,Liverpool,AC Milan,4,4,43,54,5,13,9,10,10,15,Draw,2017,1,1
2024-04-30,AC Milan,Manchester City,4,2,57,37,18,19,2,5,15,13,Home Team,2024,3,0
2022-10-08,Barcelona,Manchester City,5,0,70,45,11,6,8,2,5,6,Home Team,2022,3,0
2024-09-12,Bayern Munich,Paris Saint-Germain,4,4,70,57,15,13,6,2,13,12,Draw,2024,1,1
2019-11-16,Manchester City,Bayern Munich,5,5,56,38,11,10,8,10,6,11,Draw,2019,1,1
2022-01-27,Manchester City,Bayern Munich,5,0,62,56,12,22,6,3,11,8,Home Team,2022,3,0
2024-05-27,Chelsea,Arsenal,5,2,61,30,11,19,2,3,8,6,Home Team,2024,3,0
2019-04-28,Bayern Munich,Barcelona,2,1,61,41,15,20,7,8,7,13,Home Team,2019,3,0
2020-12-10,Real Madrid,Borussia Dortmund,5,4,54,32,15,10,9,7,11,6,Home Team,2020,3,0
2019-06-02,Barcelona,Manchester City,4,3,42,45,21,8,9,9,5,5,Home Team,2019,3,0
2016-08-07,Liverpool,Barcelona,3,0,49,33,12,21,7,9,7,8,Home Team,2016,3,0
2016-12-19,Arsenal,Barcelona,0,1,68,50,11,20,8,3,7,10,Away Team,2016,0,3
2023-12-03,Juventus,AC Milan,5,3,65,57,12,23,3,9,12,7,Home Team,2023,3,0
2017-09-15,Bayern Munich,Barcelona,3,1,65,31,20,18,9,10,12,7,Home Team,2017,3,0
2023-09-23,Manchester City,Chelsea,2,4,70,33,14,11,8,10,15,12,Away Team,2023,0,3
2019-09-21,Paris Saint-Germain,Chelsea,1,0,45,55,22,22,3,3,10,15,Home Team,2019,3,0
2015-08-04,Liverpool,Borussia Dortmund,1,4,65,38,20,7,2,6,6,8,Away Team,2015,0,3
2020-11-23,Chelsea,Paris Saint-Germain,3,3,40,43,16,5,4,3,15,10,Draw,2020,1,1
2023-05-05,Real Madrid,Barcelona,3,5,64,50,11,17,4,3,6,7,Away Team,2023,0,3
2019-05-19,Bayern Munich,AC Milan,5,2,55,48,25,6,5,6,5,9,Home Team,2019,3,0
2016-01-25,Liverpool,Liverpool,5,1,70,46,6,17,3,2,7,10,Home Team,2016,3,0
2023-08-01,Chelsea,Manchester City,5,1,66,32,21,14,6,2,15,12,Home Team,2023,3,0
2024-04-27,AC Milan,AC Milan,0,2,57,49,10,21,6,7,6,5,Away Team,2024,0,3
2021-01-20,Juventus,Chelsea,2,1,66,52,5,8,10,7,5,14,Home Team,2021,3,0
2024-06-30,Real Madrid,Arsenal,0,1,63,60,8,12,2,3,14,12,Away Team,2024,0,3
2024-12-09,Manchester City,Manchester City,2,0,61,48,23,10,10,4,10,5,Home Team,2024,3,0
2019-09-15,Liverpool,Borussia Dortmund,3,1,42,33,16,18,4,2,10,13,Home Team,2019,3,0
